id,ref_id,name,version,last_change,f_category,description,flow_type,infrastructure_flow,cas_number,formula,f_reference_flow_property,f_location,synonyms
353,5ed841be-f0ef-39b6-d2c3-fd67ae62bbc8,"2,3,7,8-Tetrachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,051207-31-9,C12H4Cl4O,334,,
355,4150cf78-ef2b-2045-896d-0f5ac9529b95,"Benzo(g,h,i)perylene",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000191-24-2,C22H12,334,,
357,8c76d00e-910a-6b0f-de69-0d1b13732a9e,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,019408-74-3,C12H2Cl6O2,334,,
359,411bd4fd-a7ae-907a-e077-689b7606ae2a,Octachlorodibenzo-p-dioxin,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,003268-87-9,C12Cl8O2,334,,
361,d43572af-d023-443b-9fad-d56ffc0adc53,"Chromium, ion",0,0,49,,ELEMENTARY_FLOW,0,016065-83-1,Cr3+,334,,
363,78c3efe4-421c-4d30-82e4-b97ac5124993,Sulfur dioxide,0,0,49,,ELEMENTARY_FLOW,0,007446-09-5,SOx as SO2,334,,
365,09abeb04-1599-47a4-37b9-5aa75dc40c0e,"1,2,3,7,8,9-Hexachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,072918-21-9,C12H2Cl6O,334,,
367,3e489c84-63e9-ae6d-1c7a-050fd36424b9,"1,2,3,4,7,8-Hexachlorodibenzo-p-Dioxin",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,39227-28-6,C12H2Cl6O2,334,,
369,7999fa72-f08c-bef4-4a15-70ce2fc1e9df,"1,2,3,7,8-Pentachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,057117-41-6,C12H3Cl5O,334,,
371,70ef743b-3ed5-4a6d-b192-fb6d62378555,"Methane, fossil",0,0,49,,ELEMENTARY_FLOW,0,000074-82-8,CH4,334,,
373,81c4ba39-8a3f-4a43-97b4-401605bbebf5,Benzo(a)pyrene,0,0,49,,ELEMENTARY_FLOW,0,000050-32-8,C20H12,334,,
375,621d5583-dca8-4acc-add7-316f8fca9ebc,Chrysene,0,0,49,,ELEMENTARY_FLOW,0,000218-01-9,,334,,
377,37223b2f-2a32-01bb-81a9-eec81d3f4044,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,057653-85-7,C12H2Cl6O2,334,,
379,4d846051-6882-a8db-5001-0583bbb1f4ee,CUTOFF spare part set; sprayers; 300-600HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
381,e8fc62ba-678e-4706-97d2-b79d83e227d5,Nickel,0,0,49,,ELEMENTARY_FLOW,0,007440-02-0,Ni,334,,
383,a1d277aa-7aea-4b5e-8aa9-2789ba8ff333,Xylene,0,0,49,,ELEMENTARY_FLOW,0,001330-20-7,C6H4(CH3)2,334,,
385,f115da0a-f2e5-b5bc-a0b7-0e8dd1651c11,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-Dioxin",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,035822-46-9,C12HCl7O2,334,,
387,9e2d403e-c4f9-0684-5e76-850a4ded8210,"Indeno(1,2,3,c,d)pyrene",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000193-39-5,C22H12,334,,
389,33b38ccb-593b-4b11-b965-10d747ba3556,"NMVOC, non-methane volatile organic compounds, unspecified origin",0,0,49,,ELEMENTARY_FLOW,0,,,334,,
391,69567abd-c3fe-5f24-8378-6cf05c386fd8,"CUTOFF local area trucking; class 6, average fuel",0,0,56,,PRODUCT_FLOW,0,,,330,,
393,c3bf8b34-f3da-70a9-97ae-0359facc2149,Octachlorodibenzofuran,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,039001-02-0,C12Cl8O,334,,
395,e59c311b-ded2-4673-900a-c9e4a37fb9d7,Benzo(k)fluoranthene,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000207-08-9,C20H12,334,,
397,9167dca7-615e-435c-8ba6-dbbf50e50e34,Formaldehyde,0,0,49,,ELEMENTARY_FLOW,0,000050-00-0,CH2O,334,,
399,8a970585-5ce2-4226-b60d-df1c34649a56,Butadiene,0,0,49,,ELEMENTARY_FLOW,0,000106-99-0,C4H6,334,,
401,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,"Carbon dioxide, fossil",0,0,49,,ELEMENTARY_FLOW,0,000124-38-9,CO2,334,,
403,c7b704e6-0ad7-458a-bdd5-edc4c91dd631,Phenanthrene,0,0,49,,ELEMENTARY_FLOW,0,000085-01-8,C14H10,334,,
405,bf1fc9c6-ec9f-be53-4478-9c2f6c14cf6d,CUTOFF storage; of farm equipment; at farm,0,0,51,,PRODUCT_FLOW,0,,,339,,
407,1e91a52a-8d08-3624-bb92-e134f70acb61,"work; sprayers for win wheat harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
409,66ab92a1-a3b4-b45a-e987-74e71dc1d286,"1,2,3,6,7,8-Hexachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,057117-44-9,C12H2Cl6O,334,,
411,099b36ab-4c03-4587-87f4-2f81e337afb8,"Carbon monoxide, fossil",0,0,49,,ELEMENTARY_FLOW,0,000630-08-0,CO,334,,
413,fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1,Acetaldehyde,0,0,49,,ELEMENTARY_FLOW,0,000075-07-0,CH3CHO,334,,
415,716e3af1-547d-f9bf-d840-f6dfc3660afa,"2,2,4-Trimethylpentane",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000540-84-1,C8H18,334,,
417,14ede4f0-be68-4933-b84b-b4dc90f73fff,Pyrene,0,0,49,,ELEMENTARY_FLOW,0,000129-00-0,C16H10,334,,
419,41067ac7-bf36-47ef-a19f-683d9b758a28,Hexane,0,0,49,,ELEMENTARY_FLOW,0,000110-54-3,C6H14,334,,
421,dd8e67f7-4774-fbd3-78e3-7788034db940,"1,2,3,4,7,8-Hexachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,070648-26-9,C12H2Cl6O,334,,
423,f77c5e36-ee47-4437-b757-03139bb1d6d6,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",0,0,49,,ELEMENTARY_FLOW,0,001746-01-6,,334,,
425,e0e605c8-370b-4b5a-b6d4-2e7a5a1a6709,"Benzene, ethyl-",0,0,49,,ELEMENTARY_FLOW,0,000100-41-4,C8H10,334,,
427,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Ammonia,0,0,49,,ELEMENTARY_FLOW,0,007664-41-7,NH3,334,,
429,2d456fb8-592b-46a7-97f0-81fc2a18e587,Styrene,0,0,49,,ELEMENTARY_FLOW,0,000100-42-5,C8H8,334,,
431,ddaa836b-861d-f4e8-9454-499fbe78ae6b,"2,3,4,6,7,8-Hexachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,060851-34-5,C12H2Cl6O,334,,
433,8c524507-938a-4ab9-8430-105b2011dbae,Fluorene,0,0,49,,ELEMENTARY_FLOW,0,000086-73-7,C13H10,334,,
435,8016cfd8-c95b-d175-f8ab-55c303e13068,Benz(a)anthracene,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000056-55-3,C18H12,334,,
437,f6fc222a-e5ad-d750-d4e5-7aeec662ff31,Mercury (particulate),0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
439,3b249c89-6168-d6d6-546b-22856e7838f0,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,055673-89-7,C12HCl7O,334,,
441,7d7a38ec-5811-c053-f101-80a99afdcb69,CUTOFF equ. retirement; sprayers; 300-600HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
443,521a9dab-8ec8-f266-f0b7-c82e9fb85bfe,CUTOFF lubricating oil management; at farm,0,0,67,,PRODUCT_FLOW,0,,,334,,
445,160cc5f4-4d25-43c3-9662-a62221505ec1,Naphthalene,0,0,49,,ELEMENTARY_FLOW,0,000091-20-3,C10H8,334,,
447,963be8ca-e43d-4f8d-a97b-d8982035ffbc,Propanal,0,0,49,,ELEMENTARY_FLOW,0,000123-38-6,C3H6O,334,,
449,966cf136-e54a-552f-6a71-aad3cf7b5909,"Dibenzo(a,h)anthracene",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000053-70-3,C22H14,334,,
451,77f17646-cede-4a49-99dd-55950098b077,Toluene,0,0,49,,ELEMENTARY_FLOW,0,000108-88-3,C6H5CH3,334,,
453,295c9740-6fdb-4676-9eb8-15e3786f713d,"Particulates, > 2.5 um, and < 10um",0,0,49,,ELEMENTARY_FLOW,0,,PM10-PM2.5,334,,
455,70408c3d-56c0-9dc9-a38d-b4d93a10a617,CUTOFF production; sprayers; 300-600HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
457,10263be9-fd27-a9c6-11e3-9c37f0a275f6,"2,3,4,7,8-Pentachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,057117-31-4,C12H3Cl5O,334,,
459,c5d33ced-3c33-606d-b265-f1e2f7959f40,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,67562-39-4,C12HCl7O,334,,
461,d1548388-ce45-4a78-ac65-e096c1da1f8e,Fluoranthene,0,0,49,,ELEMENTARY_FLOW,0,000206-44-0,C16H10,334,,
463,adc5dd9c-d1e1-fab5-39db-ff1128752591,Total Organic Gases,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
465,66f50b33-fd62-4fdd-a373-c5b0de7de00d,"Particulates, < 2.5 um",0,0,49,,ELEMENTARY_FLOW,0,,PM2.5,334,,
467,df9d4dca-655b-460f-83b3-ee98efb35036,Anthracene,0,0,49,,ELEMENTARY_FLOW,0,000120-12-7,C14H10,334,,
469,85981847-6749-7490-ce21-e063247f02a2,CUTOFF lubricating oil; for use in agricultural equipment; at refinery,0,0,67,,PRODUCT_FLOW,0,,,334,,
471,e0efc2e4-46f7-bf77-832f-0a34a756c51c,Non-Methane Hydrocarbons,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
473,afd6d670-bbb0-4625-9730-04088a5b035e,Dinitrogen monoxide,0,0,49,,ELEMENTARY_FLOW,0,010024-97-2,N2O,334,,
475,1e95101a-d96f-cfa1-da1a-82a662e49203,Non-Methane Organic Gases,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
477,2460f868-54a9-404c-bec8-c809a44ae72c,Manganese,0,0,49,,ELEMENTARY_FLOW,0,007439-96-5,Mn,334,,
479,922a7ccf-3338-43ad-bd7e-77d51df051ab,Acenaphthene,0,0,49,,ELEMENTARY_FLOW,0,000083-32-9,C12H10,334,,
481,03b279a7-4626-4703-a451-d0650599dbd9,Chromium VI,0,0,49,,ELEMENTARY_FLOW,0,018540-29-9,Cr6+,334,,
483,e4edf70e-251e-def6-d5c7-b1bdcfefa4f5,Mercury (divalent gaseous),0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,Hg+2,334,,
485,4480e7c7-93ce-b49f-36a9-799b631daf55,Benzo(b)fluoranthene,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,000205-99-2,C20H12,334,,
487,12840cef-c3b8-4ef2-b7d4-3a73dbd6a280,Acrolein,0,0,49,,ELEMENTARY_FLOW,0,000107-02-8,C3H4O,334,,
489,d668bf42-fd37-3a11-9252-9b9b48d00c59,"1,2,3,7,8-Pentachlorodibenzo-p-Dioxin",0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,040321-76-4,C12H3Cl5O2,334,,
491,644232e9-f932-1c55-7269-58bdc5eaad64,"CUTOFF diesel; for offroad use; at refinery, S%0.002",0,0,67,,PRODUCT_FLOW,0,,,334,,
493,77357947-ccc5-438e-9996-95e65e1e1bce,Nitrogen oxides,0,0,49,,ELEMENTARY_FLOW,0,011104-93-1,NOx as NO2,334,,
495,ae1791b5-85ce-481a-9091-75c4b3f51d2c,Acenaphthylene,0,0,49,,ELEMENTARY_FLOW,0,000208-96-8,,334,,
497,5ec9c16a-959d-44cd-be7d-a935727d2151,Mercury,0,0,49,,ELEMENTARY_FLOW,0,007439-97-6,Hg,334,,
499,5e9cb499-a5ea-94af-e292-34652d5c19f1,Secondary Organic Aerosol,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
501,e292ceba-bc59-3365-fa27-12fdd3885874,Arsenic & compounds,0,0,46,Source reference: US EPA NONROAD model. Accesible at http://www.epa.gov/otaq/nonrdmdl.htm,ELEMENTARY_FLOW,0,,,334,,
503,5e883a00-04e6-4d96-8dce-12d7117c6635,Benzene,0,0,49,,ELEMENTARY_FLOW,0,000071-43-2,C6H6,334,,
505,d04da25d-d4cf-3471-a7c0-d71ee2f130b1,"work; loaders/backhoes for spr wheat harvest, 2014 fleet, all fuels; 175-300HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
507,1d7eaf60-41b2-c527-a291-6ca350f6617a,CUTOFF production; loaders/backhoes; 175-300HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
509,50eda96b-7696-c5e8-1bef-d6106ece38ac,CUTOFF spare part set; loaders/backhoes; 175-300HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
511,7cf28ad3-006d-ab40-59c0-03dc99c6b8bc,CUTOFF equ. retirement; loaders/backhoes; 175-300HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
513,4d847621-9489-2a7b-5f2d-1718cc114311,CUTOFF production; swathers; 100-175HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
515,d6235194-e4e6-4548-bfa3-ac095131aef4,"Carbon dioxide, biogenic",0,0,49,,ELEMENTARY_FLOW,0,000124-38-9,CO2,334,,
517,65cfcfd4-ed4f-055c-e13d-e229464e6072,CUTOFF equ. retirement; swathers; 100-175HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
